bbSpz	EEF	Female	Male	Merozoite	oocyst	ook	Ring	ookoo	Schizont	sgSpz	Trophozoite
PBANKA_0000101	0	0	0	0	0.793500378884032	0	0	0	0	0	0	0
PBANKA_0000301	0	0.0446608201633599	2.91471905618277	19.4395547711707	0.049593773680252	0.120874810373324	0.120379777130385	0	0.368598994915602	0.104506616425857	0	0.160717158533494
PBANKA_0000401	0	0	0	0	0.173578207880882	0	0	0.334054700100044	0.0141768844198309	0	0	0
PBANKA_0000600	0	0	0	0	0	0	0	0.0626352562687583	0	0	0	0
PBANKA_0000701	0	0	0	0.286477649259357	0	0	0	0	0	0	0	0
PBANKA_0000901	0	0	0	0	0	0	0	0.0208784187562528	0	0.0298590332645307	0	0.0803585792667472
PBANKA_0001001	0	0.625251482287039	2.5657738170623	183.468471661385	24.5241210848846	0	0.090284832847789	5.01082050150066	1.29009648220461	3.85181529112445	0	2.81255027433615
PBANKA_0001101	0	0	0.225788095901482	0.818507569312449	0	0	0.857705912053996	0	0.510367839113911	0.194083716219449	0.785452345371924	1.96878519203531
PBANKA_0001200	0	0	0	0	0	0	0	0	0.0283537688396617	0	0	0
PBANKA_0001201	0	0.1116520504084	0.0205261905364984	0.245552270793735	6.89353454155503	0	0	3.43449988540358	0.099238190938816	0	0	0
PBANKA_0001301	0	0.0446608201633599	0	0	0	0	0	0	0.269360803976786	0	0	0
PBANKA_0001401	0	0	0.862100002532932	0	0	0	0	0	0	0	0	0.241075737800242
PBANKA_0001601	0	0	0	0	0.322359528921638	0	0	0.0208784187562528	0	0.164224682954919	0	0
PBANKA_0006300	0	0	0	0	54.2307915193556	0	0	0	0.283537688396617	0	0	57.6572806238912
PBANKA_0007501	0	0	0	0	0.223171981561134	0.017267830053332	0	0.0208784187562528	0	0.0746475831613266	0	0
PBANKA_0007601	0	0	0	0	0	0	0	0	0.0567075376793234	0	0	0
PBANKA_0007701	0	0.0223304100816799	0.0205261905364984	0	0.074390660520378	0	0	0	0.155945728618139	0.0597180665290613	0	0.321434317066989
PBANKA_0007801	0	0	0	0	0.0991875473605041	0	0.0150474721412982	0	0.0283537688396617	1.53774021312333	0	0
PBANKA_0007901	0	0	4.12576429783617	1.96441816634988	4.9593773680252	0.0345356601066641	0	0	0	0.0149295166322653	0	0.683047923767352
PBANKA_0008001	0	0	0	0	0	0	0	0	0.0141768844198309	0	0	0
PBANKA_0008101	0	0.0446608201633599	0.0410523810729968	0	1.66139141828844	0.0863391502666602	0.0601898885651927	0.0939528844031374	0.354422110495771	29.5604429318853	0	0.683047923767352
PBANKA_0009101	0.0398179269544908	0.0223304100816799	0	0	0	0	0	0	0.0283537688396617	0	0	0
PBANKA_0100021	0	1.5631287057176	0.184735714828485	0.327403027724979	17.6057896564895	2.91826327901311	0.586851413510629	15.3351985764677	0.17012261303797	13.6455782018905	0	2.08932306093543
PBANKA_0100041	92.8155877309181	29.1188547465107	0.862100002532932	1.02313446164056	0	283.088805894325	2.4828329033142	0.0104392093781264	8.4068924609597	1.32872698027161	33.6622433730825	4.74115617673809
PBANKA_0100061	15.4493556583424	3.08159659127183	21.9219714929803	25.0054062424953	194.308405279227	39.5433308221304	9.81095183612641	2.68287681017848	140.464570831684	383.449705183103	48.7728503983328	1.12502010973446
PBANKA_0100081	0	0.0446608201633599	0	0.122776135396867	0.024796886840126	0.138142640426656	0.105332304989087	0.0104392093781264	0.269360803976786	0	0	0.401792896333736
PBANKA_0100100	0	2.76897085012831	1.2931500037994	1.18683597550305	38.9311123389978	26.886011393038	0.0752373607064909	0.323615490721918	15.9348180878899	0	0	0.602689344500604
PBANKA_0100200	1.27417366254371	4.37676037600927	38.2402929694965	119.952284282739	39.7742064915621	4.36876100349301	4.84528602949801	12.4539767881048	12.9151417064659	39.0556155100061	1.7953196465644	77.5058497027777
PBANKA_0100300	0	0	0.102630952682492	0.16370151386249	2.03334472089033	0.017267830053332	0.0601898885651927	1.64939508174397	0.113415075358647	0.373237915806633	0	0.401792896333736
PBANKA_0100400	0	6.45348851360551	17.4267357654871	182.281635685882	45.7006624463522	0	0	0.198344978184401	0.32606834165611	4086.40278596724	0	28.0853234537282
PBANKA_0100500	0	1.51846788555424	51.4386334844649	267.119945245118	14.952522764596	4.10974355269303	2.61826015258588	0.448886003259434	14.417891454968	623.859711512471	0	203.467922703404
PBANKA_0100600	0.0796358539089816	96.3333890923673	80.1753002355627	208.924057067003	117.636431169558	16.3871707206121	0.0150474721412982	111.083626992643	24.6677788905057	843.278817456875	0	801.094676710203
PBANKA_0100700	0	149.323452216194	86.5178931113407	306.449233950581	3550.86460173236	37.7129408364772	2.21197840477083	2492.95627396223	62.6476522512325	6323.38184007935	0	1372.52453387604
PBANKA_0100800	157.002085981557	84.3419588785052	439.404160814821	719.836481831833	261.185609087047	38.2309757380771	24.7982340888594	199.326263865945	57.4022050158951	6.64363490135807	96.7602484512937	38.1703251517049
